category	insertions	deletions	net	path
build	2	2	0	depofiles/tidesdb.DepoFile
build	1	1	0	depos.project.cmake
production	10	1	9	ebpf/common/structs.h
production	7	0	7	ebpf/kernel/maps.h
production	20	0	20	ebpf/kernel/services.h
production	6	2	4	enums/datacenter.h
production	30	0	30	prodigy/brain/base.h
production	558	29	529	prodigy/brain/brain.h
production	2	1	1	prodigy/brain/machine.h
production	116	4	112	prodigy/container.contract.h
production	163	2	161	prodigy/containerstore.h
build	11	2	9	prodigy/dev/CMakeLists.txt
test	276	0	276	prodigy/dev/tests/mothership_tunnel_provider_fixture.cpp
test	2	2	0	prodigy/dev/tests/prodigy_brain_config_ssh_replication_unit.cpp
test	2	2	0	prodigy/dev/tests/prodigy_brain_ipv6_topology_unit.cpp
test	2	2	0	prodigy/dev/tests/prodigy_brain_master_uuid_unit.cpp
test	2	2	0	prodigy/dev/tests/prodigy_brain_overlay_hosted_ingress_unit.cpp
test	733	9	724	prodigy/dev/tests/prodigy_brain_replication_credentials_unit.cpp
test	3	1	2	prodigy/dev/tests/prodigy_brain_topic_fuzz.cpp
test	107	0	107	prodigy/dev/tests/prodigy_container_overlay_sync_unit.cpp
test	70	4	66	prodigy/dev/tests/prodigy_deployments_unit.cpp
test	130	1	129	prodigy/dev/tests/prodigy_mothership_cluster_registry_unit.cpp
test	2	1	1	prodigy/dev/tests/prodigy_mothership_topic_fuzz.cpp
test	578	4	574	prodigy/dev/tests/prodigy_mothership_unix_connect_unit.cpp
test	33	2	31	prodigy/dev/tests/prodigy_persistent_state_unit.cpp
test	5	5	0	prodigy/dev/tests/prodigy_switchboard_whitehole_unit.cpp
production	17	11	6	prodigy/discombobulator/src/build.rs
production	11	10	1	prodigy/discombobulator/src/build_portable.rs
production	1	0	1	prodigy/discombobulator/src/cli.rs
production	11	9	2	prodigy/discombobulator/src/plan.rs
production	2	0	2	prodigy/discombobulator/src/registry.rs
test	90	11	79	prodigy/discombobulator/tests/build_smoke.rs
test	10	1	9	prodigy/discombobulator/tests/parser.rs
doc	14	0	14	prodigy/docs/runtime.md
doc	14	0	14	prodigy/docs/security.md
production	24	10	14	prodigy/ingress.validation.h
production	6	0	6	prodigy/mothership/mothership.cluster.create.h
production	89	4	85	prodigy/mothership/mothership.cluster.registry.h
production	21	0	21	prodigy/mothership/mothership.cluster.types.h
production	638	45	593	prodigy/mothership/mothership.cpp
production	298	0	298	prodigy/mothership/mothership.tunnel.auth.h
production	555	0	555	prodigy/mothership/mothership.tunnel.gateway.cpp
production	71	0	71	prodigy/mothership/mothership.tunnel.gateway.h
production	116	0	116	prodigy/mothership/mothership.tunnel.policy.h
production	1	0	1	prodigy/neuron/base.h
production	349	135	214	prodigy/neuron/containers.h
production	28	18	10	prodigy/neuron/neuron.h
production	16	18	-2	prodigy/persistent.state.h
production	207	2	205	prodigy/prodigy.cpp
production	60	0	60	prodigy/system.container.policy.h
production	215	1	214	prodigy/types.h
production	27	0	27	switchboard/kernel/container.egress.router.ebpf.c
production	24	75	-51	switchboard/kernel/egress.routing.h
production	15	92	-77	switchboard/kernel/host.ingress.router.ebpf.c
production	47	0	47	switchboard/kernel/l4.ports.h
production	33	19	14	switchboard/whitehole.route.h
